"action","boro","building","camis","critical_flag","cuisine_description","dba","inspection_date","inspection_type","phone","record_date","score","street","violation_code","violation_description","zipcode","grade","grade_date"
"Violations were cited in the following area(s).","MANHATTAN","287",41575038,"Not Critical","American","BRGR",2016-03-24,"Cycle Inspection / Re-inspection","2124887500",2017-10-19 06:00:49,12,"7 AVENUE","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,"A",2016-03-24
"Violations were cited in the following area(s).","MANHATTAN","297",50006106,"Critical","American","EPICE CAFE",2015-02-27,"Cycle Inspection / Initial Inspection","2122434673",2017-10-19 06:00:49,8,"7TH AVE","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","330",50009573,"Not Critical","Thai","SONG KRAN THAI",2016-03-24,"Cycle Inspection / Initial Inspection","2122398792",2017-10-19 06:00:49,28,"8TH AVE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","11",50000138,"Not Critical","Korean","FOOD GALLERY 32",2017-03-16,"Cycle Inspection / Initial Inspection","2129671678",2017-10-19 06:00:49,27,"W 32ND ST","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","800",41109543,"Not Critical","Pizza","WALDY'S WOOD FIRED PIZZA & PENNE",2017-06-28,"Cycle Inspection / Initial Inspection","2122135042",2017-10-19 06:00:49,9,"6 AVENUE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2017-06-28
"Violations were cited in the following area(s).","MANHATTAN","229",50012006,"Not Critical","Chinese","GRAND SICHUAN",2015-01-29,"Cycle Inspection / Initial Inspection","2126205200",2017-10-19 06:00:49,23,"9TH AVE","09A","Canned food product observed dented and not segregated from other consumable food items.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","601",41126939,"Not Critical","American","TOMMY HILFIGER",2015-06-02,"Cycle Inspection / Initial Inspection","2125496444",2017-10-19 06:00:49,26,"WEST   26 STREET","10I","Single service item reused, improperly stored, dispensed; not used when required.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","334",50053457,"Critical","Pizza/Italian","CLAUDIO'S",2017-08-22,"Cycle Inspection / Initial Inspection","2122560212",2017-10-19 06:00:49,64,"8TH AVE","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",10001,NA,NA
NA,"MANHATTAN","121",50070551,"Not Applicable","Other",NA,1900-01-01,NA,"2014109403",2017-10-19 06:00:59,NA,"W 30TH ST",NA,NA,10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","121",50003456,"Not Critical","CafÃ©/Coffee/Tea","LUNA",2015-06-22,"Cycle Inspection / Re-inspection","6468072167",2017-10-19 06:00:49,23,"W 29TH ST","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,"B",2015-06-22
"Violations were cited in the following area(s).","MANHATTAN","27",40729264,"Critical","Irish","PLAYWRIGHT TAVERN",2015-10-14,"Cycle Inspection / Initial Inspection","2122688868",2017-10-19 06:00:49,24,"WEST   35 STREET","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","1271",50013048,"Critical","American","THE HAROLD",2015-04-09,"Cycle Inspection / Initial Inspection","2126861888",2017-10-19 06:00:49,17,"BROADWAY","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","315",41644000,"Critical","American","DEATH AVE",2014-10-20,"Cycle Inspection / Initial Inspection","2126958080",2017-10-19 06:00:49,6,"10 AVENUE","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","124",41023740,"Critical","American","JOHNY'S LUNCHEONETTE",2016-06-21,"Cycle Inspection / Re-inspection","2122436230",2017-10-19 06:00:49,7,"WEST   25 STREET","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,"A",2016-06-21
"Violations were cited in the following area(s).","MANHATTAN","138",41087782,"Critical","American","AROME CAFE 32",2017-03-27,"Cycle Inspection / Re-inspection","2122957870",2017-10-19 06:00:49,12,"WEST   32 STREET","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10001,"A",2017-03-27
"Violations were cited in the following area(s).","MANHATTAN","30",50046914,"Critical","Korean","SHANGHAI MONG",2016-10-31,"Pre-permit (Operational) / Compliance Inspection","2126296450",2017-10-19 06:00:49,24,"W 32ND ST","04M","Live roaches present in facility's food and/or non-food areas.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","839",50047825,"Not Critical","American","L'AMICO/THE VINE",2017-06-08,"Cycle Inspection / Re-inspection","2122014065",2017-10-19 06:00:49,12,"6TH AVE","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,"A",2017-06-08
"Violations were cited in the following area(s).","MANHATTAN","30",50015724,"Not Critical","American","HYATT HERALD SQUARE",2017-07-21,"Calorie Posting / Initial Inspection","2123301234",2017-10-19 06:00:49,NA,"W 31ST ST","16E","Caloric content range (minimum to maximum) not posted on menus and or menu boards for each flavor, variety and size of each menu item that is offered for sale in different flavors, varieties and sizes.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","35",41267359,"Critical","Korean","MADANGSUI",2015-02-23,"Cycle Inspection / Re-inspection","2125649333",2017-10-19 06:00:49,14,"WEST   35 STREET","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",10001,"B",2015-02-23
"Violations were cited in the following area(s).","MANHATTAN","254",41698063,"Critical","Seafood","L&W OYSTER CO.",2015-05-12,"Cycle Inspection / Initial Inspection","2122037772",2017-10-19 06:00:49,10,"5 AVENUE","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,"A",2015-05-12
"Violations were cited in the following area(s).","MANHATTAN","838",50005960,"Not Critical","American","SUNSWEET FRESH MARKET",2017-07-21,"Cycle Inspection / Initial Inspection","2125328383",2017-10-19 06:00:49,13,"6TH AVE","10H","Proper sanitization not provided for utensil ware washing operation.",10001,"A",2017-07-21
"Violations were cited in the following area(s).","MANHATTAN","155",50015204,"Critical","American","HOOTERS",2016-03-31,"Cycle Inspection / Initial Inspection","2126959580",2017-10-19 06:00:49,13,"W 33RD ST","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,"A",2016-03-31
"Violations were cited in the following area(s).","MANHATTAN","2",50012532,"Not Critical","American","KRUSH",2014-07-16,"Pre-permit (Non-operational) / Initial Inspection","9178649456",2017-10-19 06:00:49,15,"W 32ND ST","10H","Proper sanitization not provided for utensil ware washing operation.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","11",41146119,"Not Critical","Sandwiches/Salads/Mixed Buffet","EUROPA CAFE",2016-07-12,"Cycle Inspection / Initial Inspection","2126953939",2017-10-19 06:00:49,29,"PENN PLAZA","09A","Canned food product observed dented and not segregated from other consumable food items.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","488",41566307,"Critical","Pizza","FAMOUS FAMIGLIA PIZZERIA",2017-08-15,"Cycle Inspection / Initial Inspection","2125644144",2017-10-19 06:00:49,20,"8 AVENUE","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","34",41617076,"Critical","Korean","THE SPOT KARAOKE LOUNGE",2015-04-07,"Cycle Inspection / Initial Inspection","2125646600",2017-10-19 06:00:49,14,"WEST   32 STREET","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","232",41477483,"Critical","American","HOLIDAY INN EXPRESS - MANHATTAN",2014-08-26,"Cycle Inspection / Initial Inspection","2126957200",2017-10-19 06:00:49,16,"WEST   29 STREET","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","360",41397650,"Not Critical","Donuts","DUNKIN' DONUTS, BASKIN ROBBINS",2013-12-02,"Cycle Inspection / Initial Inspection","2129041160",2017-10-19 06:00:49,12,"WEST   31 STREET","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2013-12-02
"Violations were cited in the following area(s).","MANHATTAN","287",41575038,"Not Critical","American","BRGR",2017-07-25,"Cycle Inspection / Initial Inspection","2124887500",2017-10-19 06:00:49,10,"7 AVENUE","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,"A",2017-07-25
"Violations were cited in the following area(s).","MANHATTAN","163",50061081,"Critical","African","B & D HALAL RESTAURANT",2017-04-11,"Pre-permit (Operational) / Initial Inspection","2122687602",2017-10-19 06:00:49,31,"W 29TH ST","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","5",41718710,"Critical","Korean","BCD TOFU HOUSE",2014-12-05,"Cycle Inspection / Initial Inspection","2129671900",2017-10-19 06:00:49,7,"WEST   32 STREET","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10001,"A",2014-12-05
"Violations were cited in the following area(s).","MANHATTAN","401",50004431,"Not Critical","American","CITIZENS OF CHELSEA",2014-10-27,"Cycle Inspection / Re-inspection","6466493079",2017-10-19 06:00:49,18,"W 25TH ST","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,"B",2014-10-27
NA,"MANHATTAN","345",50067939,"Not Applicable","Other","BEN'S COOKIES",1900-01-01,NA,"6316156688",2017-10-19 06:00:59,NA,"7TH AVE",NA,NA,10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","352",40539007,"Critical","American","MUSTANG HARRY'S",2014-10-23,"Cycle Inspection / Initial Inspection","2122688930",2017-10-19 06:00:49,7,"SEVENTH AVENUE","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10001,"A",2014-10-23
"Violations were cited in the following area(s).","MANHATTAN","1250",41694144,"Not Critical","Korean","GAONNURI",2013-10-29,"Cycle Inspection / Initial Inspection","2129719045",2017-10-19 06:00:49,12,"BROADWAY","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,"A",2013-10-29
"Violations were cited in the following area(s).","MANHATTAN","366",41643512,"Critical","Sandwiches/Salads/Mixed Buffet","POTBELLY SANDWICH",2017-06-07,"Cycle Inspection / Initial Inspection","6462894207",2017-10-19 06:00:49,16,"5 AVENUE","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","132",50038027,"Not Critical","Bagels/Pretzels","BROWNS BAGELS",2016-06-23,"Pre-permit (Operational) / Initial Inspection","2129710092",2017-10-19 06:00:49,2,"W 31ST ST","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2016-06-23
"Violations were cited in the following area(s).","MANHATTAN","2",41649359,"Critical","CafÃ©/Coffee/Tea","DUNKIN' DONUTS",2014-10-01,"Cycle Inspection / Initial Inspection","2126437083",2017-10-19 06:00:49,8,"PENNSYLVANIA PLAZA","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,"A",2014-10-01
"Violations were cited in the following area(s).","MANHATTAN","513",41455068,"Critical","Pizza/Italian","OVEST PIZZOTECA",2016-08-29,"Cycle Inspection / Re-inspection","2129674392",2017-10-19 06:00:49,11,"WEST   27 STREET","06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",10001,"A",2016-08-29
"Violations were cited in the following area(s).","MANHATTAN","53",50001312,"Critical","Japanese","MEW",2017-08-21,"Cycle Inspection / Initial Inspection","6463689384",2017-10-19 06:00:49,35,"W 35TH ST","02I","Food prepared from ingredients at ambient temperature not cooled to 41Âº F or below within 4 hours.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","232",41477483,"Not Critical","American","HOLIDAY INN EXPRESS - MANHATTAN",2014-10-04,"Smoke-Free Air Act / Re-inspection","2126957200",2017-10-19 06:00:49,NA,"WEST   29 STREET","15L","Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","304",41392820,"Not Critical","Sandwiches","QUIZNO'S SUBS",2017-09-11,"Cycle Inspection / Re-inspection","2127364400",2017-10-19 06:00:49,25,"WEST 34 STREET","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,"B",2017-09-11
"Violations were cited in the following area(s).","MANHATTAN","224",50058037,"Not Critical","Other","2 BROTHERS PIZZA",2017-01-20,"Pre-permit (Operational) / Initial Inspection","9175878888",2017-10-19 06:00:49,10,"W 35TH ST","10H","Proper sanitization not provided for utensil ware washing operation.",10001,"A",2017-01-20
"Violations were cited in the following area(s).","MANHATTAN","35",41267359,"Not Critical","Korean","MADANGSUI",2015-02-23,"Cycle Inspection / Re-inspection","2125649333",2017-10-19 06:00:49,14,"WEST   35 STREET","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"B",2015-02-23
"Violations were cited in the following area(s).","MANHATTAN","312",41413875,"Not Critical","American","CAFE BISTRO",2016-07-29,"Cycle Inspection / Initial Inspection","2122397050",2017-10-19 06:00:49,38,"WEST   34 STREET","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","32",50017701,"Critical","Korean","THE KUNJIP",2016-02-02,"Cycle Inspection / Re-inspection","2122169487",2017-10-19 06:00:49,12,"W 32ND ST","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,"A",2016-02-02
"Violations were cited in the following area(s).","MANHATTAN","11",40903172,"Critical","American","TRACKS RAW BAR & GRILL",2016-12-28,"Cycle Inspection / Initial Inspection","2122446350",2017-10-19 06:00:49,11,"PENN STATION 33RD STREET","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","9",50037784,"Critical","Korean","5 SENSES",2016-05-24,"Cycle Inspection / Initial Inspection","6468526003",2017-10-19 06:00:49,41,"W 32ND ST","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","408",41715661,"Not Critical","American","TABOO",2015-05-11,"Cycle Inspection / Initial Inspection","2129672100",2017-10-19 06:00:49,12,"8 AVENUE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2015-05-11
"Violations were cited in the following area(s).","MANHATTAN","348",50009555,"Not Critical","Vegetarian","VLIFE",2017-08-22,"Cycle Inspection / Initial Inspection","2127601900",2017-10-19 06:00:49,47,"7TH AVE","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","461",50004433,"Not Critical","American","DALI MARKET",2017-10-13,"Cycle Inspection / Re-inspection","2125645544",2017-10-19 06:00:49,10,"7TH AVE","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,"A",2017-10-13
"Violations were cited in the following area(s).","MANHATTAN","151",40728223,"Not Critical","Sandwiches/Salads/Mixed Buffet","AU BON PAIN",2016-11-04,"Cycle Inspection / Initial Inspection","2122445573",2017-10-19 06:00:49,7,"WEST   34 STREET","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2016-11-04
"Violations were cited in the following area(s).","MANHATTAN","249",50038859,"Critical","Japanese","JUN-MEN RAMEN BAR",2016-08-25,"Cycle Inspection / Initial Inspection","6468526787",2017-10-19 06:00:49,31,"9TH AVE","05H","No facilities available to wash, rinse and sanitize utensils and/or equipment.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","444",50060083,"Not Critical","American","THE HUDSON BAR ROOM",2017-03-16,"Pre-permit (Operational) / Initial Inspection","6469525980",2017-10-19 06:00:49,30,"10TH AVE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","399",50048157,"Not Critical","CafÃ©/Coffee/Tea","STARBUCKS #23044",2017-05-26,"Cycle Inspection / Initial Inspection","6465993512",2017-10-19 06:00:49,3,"7TH AVE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2017-05-26
"Violations were cited in the following area(s).","MANHATTAN","52",41692061,"Not Critical","French","PETIT POULET",2015-12-03,"Cycle Inspection / Initial Inspection","2122440440",2017-10-19 06:00:49,10,"WEST   33 STREET","09C","Food contact surface not properly maintained.",10001,"A",2015-12-03
"Violations were cited in the following area(s).","MANHATTAN","165",41387224,"Not Applicable","African","B AND B RESTAURANT",2017-02-13,"Cycle Inspection / Initial Inspection","6464298174",2017-10-19 06:00:49,30,"WEST   26 STREET","22F",NA,10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","488",41566307,"Critical","Pizza","FAMOUS FAMIGLIA PIZZERIA",2015-09-22,"Cycle Inspection / Initial Inspection","2125644144",2017-10-19 06:00:49,38,"8 AVENUE","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","364",41387458,"Critical","American","THE FLYING PUCK",2014-01-13,"Cycle Inspection / Initial Inspection","2127365353",2017-10-19 06:00:49,10,"7 AVENUE","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,"A",2014-01-13
"Violations were cited in the following area(s).","MANHATTAN","48",50003346,"Critical","Vegetarian","BOMBAY SANDWICH CO",2016-06-03,"Cycle Inspection / Initial Inspection","6467819756",2017-10-19 06:00:49,10,"W. 27TH STREET","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","55",40584086,"Not Critical","Korean","CHO DANG GOL",2015-02-17,"Administrative Miscellaneous / Initial Inspection","2126958222",2017-10-19 06:00:49,NA,"WEST   35 STREET","22C","Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","433",50040401,"Critical","Delicatessen","FOOD FAIR DELI & PIZZA",2016-06-21,"Cycle Inspection / Re-inspection","2125632188",2017-10-19 06:00:49,26,"W 34TH ST","04A","Food Protection Certificate not held by supervisor of food operations.",10001,"B",2016-06-21
"Violations were cited in the following area(s).","MANHATTAN","275",41583145,"Not Critical","CafÃ©/Coffee/Tea","ARGO TEA CAFE",2016-05-19,"Cycle Inspection / Initial Inspection","6466062229",2017-10-19 06:00:49,17,"7 AVENUE","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","500",50040175,"Not Critical","CafÃ©/Coffee/Tea","THINK COFFEE",2015-10-14,"Pre-permit (Operational) / Initial Inspection","6466494053",2017-10-19 06:00:49,32,"W 30TH ST","09C","Food contact surface not properly maintained.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","53",40390696,"Not Critical","Korean","HAN BAT RESTAURANT",2016-05-10,"Cycle Inspection / Re-inspection","2126295588",2017-10-19 06:00:49,6,"WEST   35 STREET","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,"A",2016-05-10
"Violations were cited in the following area(s).","MANHATTAN","401",50004431,"Not Critical","American","CITIZENS OF CHELSEA",2015-08-05,"Cycle Inspection / Initial Inspection","6466493079",2017-10-19 06:00:49,8,"W 25TH ST","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",10001,"A",2015-08-05
"Violations were cited in the following area(s).","MANHATTAN","481",40596359,"Not Critical","American","NEW YORKER HOTEL KITCHEN",2013-11-04,"Cycle Inspection / Initial Inspection","2122440719",2017-10-19 06:00:49,16,"8 AVENUE","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","159",41668452,"Not Critical","Pizza/Italian","SBARRO",2015-01-20,"Administrative Miscellaneous / Initial Inspection","2125641909",2017-10-19 06:00:49,NA,"WEST   33 STREET","20D","Choking first aid poster not posted. Alcohol and pregnancy warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","302",41374594,"Not Critical","Donuts","DUNKIN' DONUTS, BASKIN ROBBINS, SUBWAY",2015-05-26,"Cycle Inspection / Re-inspection","2122680686",2017-10-19 06:00:49,5,"5 AVENUE","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,"A",2015-05-26
"Violations were cited in the following area(s).","MANHATTAN","34",41454384,"Critical","Korean","K TOWN",2016-11-09,"Cycle Inspection / Initial Inspection","2126432603",2017-10-19 06:00:49,10,"WEST   32 STREET","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10001,"A",2016-11-09
"Violations were cited in the following area(s).","MANHATTAN","2",50012532,"Not Critical","American","KRUSH",2015-02-03,"Smoke-Free Air Act / Re-inspection","9178649456",2017-10-19 06:00:49,NA,"W 32ND ST","15L","Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","240",41687345,"Critical","Irish","JACK DOYLES PUB & RESTAURANT",2016-12-12,"Cycle Inspection / Re-inspection","2122681255",2017-10-19 06:00:49,13,"WEST   35 STREET","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10001,"A",2016-12-12
